"1;7-Zip;23.0.1;23.0.1;SFX;Entpacker1;Entpacker2;;"
"2;Advanced Renamer;3.91;3.91;7-Zip;Tooltip;;Ab 3.74 ""Nicht Registriert"" & Nagware.;"
"3;AkelPad;22.2;22.01;7-Zip;Editor;;4.9.9 native portable mode?;"
"4;AlephNote;1.7.9;1.7.9;7-Zip;Editor;;;"
"5;AnyBurn;5.3;5.3;7-Zip;Brennen;;;"
"6;AstroGrep;4.4.8;4.4.8;7-Zip;Editor;;;"
"7;Autoruns;14.10;14.10;SFX;System;;;"
"8;Avidemux;2.8.0;2.8.0;SFX;Video;;;"
"9;BlueScreenView;1.55;1.55;7-Zip;System;;Hallo ich bin David:);"
"11;Core Temp;1.17.1;1.17.1;7-Zip;System;;;"
"12;CPU-Z;1.99;1.99;7-Zip;System;;;"
"13;CrystalDiskInfo;8.17.13;8.17.13;7-Zip;Speicher;;;"
"14;CrystalDiskMark;8.0.4a;8.0.4a;7-Zip;Speicher;;;"
"15;Everything;1.4.1.1015;1.4.1.1015;7-Zip;Suchern;;;"
"16;FileZilla;3.57.0;3.57.0;7-Zip;FTP;;fzdefaults.xml fixiert auf 3.x (suche nach FileZilla3);"
"17;FireFox;96.0.3;96.0.3;SFX;Browser;;;"
"18;GIMP;2.10.30;2.10.30;SFX;Bild;;;"
"19;GPU-Z;2.44.0;2.44.0;SA;System;;;"
"20;Greenshot;1.2.10.6;1.2.10.6;7-Zip;Bild;;;"
"23;IrfanView;4.59;4.59;7-Zip;Bild;;;"
